0,Customers should report fraud in 3 days to avoid losses: RBI,"Customers will not suffer any loss if unauthorised electronic banking transactions are reported within three days, according to RBI. Further, the amount involved will be credited to the accounts concerned within 10 days. These rules will be applicable for third-party breaches, where the deficiency lies neither with the bank nor with the customer but elsewhere in the system.",Mansha Mahajan,"06 Jul 2017,Thursday",http://indiatoday.intoday.in/story/customers-should-report-fraud-in-3-days-to-avoid-losses-rbi/1/995836.html,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/6jul/inshorts_image_1499354769321_812.jpg?resize=400px:*')"">
</div>"
1,"Parties raised ₹355 cr, spent ₹573 cr for 2016 polls: Report","National and regional political parties had raised ₹355 crore, but spent ₹573 crore during assembly elections in five states last year, a report by think tank Association for Democratic Reforms (ADR) said. Among the national parties, BJP collected the maximum funds of ₹131.72 crore, which formed 45.75% of the total funds collected by six national parties, the report added.",Mansha Mahajan,06 Jul,http://www.hindustantimes.com/india-news/parties-raised-only-rs-355-cr-but-spent-rs-573-cr-during-2016-assembly-polls-report/story-bSFp9SBaa1f5m0s15a7XAI.html,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/6jul/inshorts_image_1499352345618_337.jpg?resize=400px:*')"">
</div>"
2,"Kashyap, Aanand L Rai's Mukkabaaz to release on November 10","Filmmakers Aanand L Rai and Anurag Kashyap have released an audio-based teaser for their upcoming film Mukkabaaz, which is scheduled to release on November 10. Rai will co-produce the film along with Phantom Films and Kashyap will direct it. The film revolves around the story of a boxer from Uttar Pradesh who falls in love with a Brahmin girl.",Chhavi Tyagi,"06 Jul 2017,Thursday",https://www.instagram.com/p/BWNF2PYHdgo/?taken-by=fuhsephantom&hl=en,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/6jul/inshorts_image_1499354030956_906.jpg?resize=400px:*')"">
</div>"
3,Airline apologises after giving away child's purchased seat,"United Airlines has apologised to a passenger who was forced to hold her 27-month-old son on her lap for three-and-a-half hours after an employee gave the toddler's purchased seat to a standby flier. The woman had paid $1,000 (₹65,000) each for two tickets because children over the age of 2 are required to have their own seat on the airline.",Chhavi Tyagi,06 Jul,https://www.bloomberg.com/news/articles/2017-07-06/united-apologizes-after-giving-away-toddler-s-purchased-seat,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/6jul/inshorts_image_1499340891787_109.jpg?resize=400px:*')"">
</div>"
4,"Flipkart, Amazon to make deliveries over ₹5,000 in Noida","E-commerce companies Flipkart and Amazon have removed the price barrier for delivery of products in Noida, where delivery was limited to products only below ₹5,000 earlier. The move has reportedly come after the rollout of GST, which has made operations easier. The price barrier has been lifted across Uttar Pradesh, Bihar, and Gujarat as well. ",Tanya Dhingra,"06 Jul 2017,Thursday",https://inc42.com/buzz/flipkart-amazon-up-bihar/,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/6jul/inshorts_image_1499365530407_756.jpg?resize=400px:*')"">
</div>"
5,France to ban sales of petrol and diesel cars by 2040,"The French government has announced that the country will end sales of petrol and diesel vehicles by 2040 as part of an ambitious plan to meet its targets under the Paris climate accord. Adding that the move was a ""revolution"", officials said it would be a ""tough"" objective for carmakers but France's industry was well equipped to make the switch.",Tanya Dhingra,06 Jul,https://www.theguardian.com/business/2017/jul/06/france-ban-petrol-diesel-cars-2040-emmanuel-macron-volvo,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/6jul/inshorts_image_1499357452185_455.jpg?resize=400px:*')"">
</div>"
6,Russia opposed to denuclearising North Korea by force,"Russia opposes any attempt to resolve the North Korean nuclear crisis by force or by strangling North Korea economically, Russian Foreign Minister Sergei Lavrov said on Wednesday. Denuclearisation of the Korean penninsula ""should not be used as a disguise for attempts to change North Korea's regime,"" Lavrov added. This comes amid increased tensions after North Korea tested an ICBM recently.",Mansha Mahajan,"06 Jul 2017,Thursday",http://www.reuters.com/article/us-northkorea-missiles-russia-idUSKBN19Q15V?il=0,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/6jul/inshorts_image_1499332107522_495.jpg?resize=400px:*')"">
</div>"
7,Cyber attack could cost Durex maker over ₹800 crore,"Reckitt Benckiser, which makes Dettol cleaning products and Durex condoms, said the ""NotPetya"" ransomware cyber attack could cost the company $129 million (over ₹800 crore) in revenue. The company said the attack had disrupted production and deliveries of goods in several countries. The attack affected some of the world’s biggest firms including advertising group WPP and delivery service FedEx.",Mansha Mahajan,06 Jul,https://www.theguardian.com/business/2017/jul/06/cyber-attack-nurofen-durex-reckitt-benckiser-petya-ransomware,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/6jul/inshorts_image_1499360858861_403.jpg?resize=400px:*')"">
</div>"
8,Libyan commander declares victory in 3-year Benghazi battle,"Libyan National Army's head Khalifa Haftar has claimed his forces have ""liberated"" the city of Benghazi from Islamist militants after a three-year campaign. The campaign has been a part of a broader conflict since Libya slipped into turmoil following the fall of Muammar Gaddafi in 2011. If confirmed, the victory would mark a major advance for the one-time commander.",Niharika Prabhakar,"06 Jul 2017,Thursday",https://www.reuters.com/article/us-libya-security-benghazi-idUSKBN19Q2SK,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/6jul/inshorts_image_1499354744091_954.jpg?resize=400px:*')"">
</div>"
9,Rob Kardashian's Instagram blocked on posting ex's nude pics,"Television personality Rob Kardashian's Instagram account was blocked after he posted nude pictures of his ex-fiancée Blac Chyna. Responding to this, Blac wrote on Snapchat, ""Rob....u beat me up and try act it never happened...I'm supposed to be quiet because you're a Kardashian."" Rob and Blac got engaged in 2016 and announced their split in the same year.",Niharika Prabhakar,06 Jul,http://www.hindustantimes.com/tv/rob-kardashian-posts-nude-pics-of-ex-in-revenge-she-accuses-him-of-beating-her/story-eJ46Te4hHwhcw69NELxcJL.html,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/6jul/inshorts_image_1499349627320_577.jpg?resize=400px:*')"">
</div>"
